,Marital_Status,Gender,Income,Children,Education,Occupation,Home_Owner,Cars,Commute_Distance,Region,Age,Purchased_Bike
0,1,0,10000.0,0,3,1,0,1.0,0,3,26.0,1
1,1,1,10000.0,0,1,1,0,2.0,0,2,30.0,0
2,0,1,10000.0,0,1,1,0,2.0,0,2,35.0,0
3,0,0,10000.0,0,3,1,1,1.0,1,3,26.0,1
4,0,0,10000.0,0,4,1,0,0.0,0,2,30.0,1
5,0,1,10000.0,0,3,1,0,1.0,0,3,26.0,1
6,1,0,10000.0,0,3,1,1,1.0,2,3,25.0,1
7,1,1,10000.0,0,3,1,0,1.0,0,3,25.0,0
9,1,1,10000.0,0,3,1,1,1.0,2,3,27.0,0
10,1,1,10000.0,0,4,1,1,0.0,0,2,37.0,1
11,0,1,10000.0,0,1,1,0,2.0,0,2,32.0,0
12,0,0,10000.0,0,3,1,1,1.0,1,3,26.0,1
13,0,0,10000.0,0,1,1,0,2.0,1,2,35.0,0
14,1,1,10000.0,0,3,1,0,1.0,0,3,26.0,1
15,0,0,10000.0,0,1,1,0,2.0,0,2,34.0,0
16,1,0,10000.0,0,1,1,0,2.0,0,2,30.0,0
17,1,0,10000.0,0,1,1,1,2.0,0,2,32.0,0
18,0,0,10000.0,0,1,1,1,2.0,1,2,35.0,0
19,0,1,10000.0,0,1,1,1,2.0,1,2,33.0,0
20,0,1,10000.0,0,3,1,0,1.0,0,3,28.0,1
21,1,1,10000.0,0,1,1,1,2.0,1,2,32.0,0
22,0,1,10000.0,0,1,1,1,2.0,1,2,34.0,0
23,0,1,20000.0,0,1,1,0,2.0,0,2,32.0,1
24,0,1,20000.0,0,2,1,0,1.0,3,2,31.0,0
25,0,0,20000.0,0,2,1,0,1.0,2,2,28.0,0
26,0,1,20000.0,0,3,1,0,1.0,2,2,36.0,1
27,0,1,20000.0,0,1,1,0,2.0,1,2,26.0,0
28,0,0,20000.0,0,2,1,0,1.0,2,2,29.0,0
29,1,0,20000.0,0,5,3,1,0.0,0,3,26.0,1
30,0,1,20000.0,0,1,1,0,2.0,1,2,32.0,0
31,0,1,20000.0,0,3,1,1,0.0,0,3,29.0,1
32,0,0,20000.0,0,5,3,1,0.0,0,3,25.0,1
33,0,1,20000.0,0,1,1,1,2.0,1,2,26.0,1
34,0,1,20000.0,0,1,1,0,2.0,0,2,25.0,0
35,1,0,20000.0,0,5,3,1,0.0,0,3,27.0,1
36,0,1,20000.0,0,2,1,0,1.0,2,2,29.0,0
37,0,1,20000.0,0,2,1,0,1.0,1,2,28.0,0
38,0,1,20000.0,0,2,1,0,1.0,2,2,30.0,0
39,0,0,20000.0,0,3,1,0,1.0,2,2,36.0,1
40,1,1,20000.0,0,5,3,0,0.0,0,3,28.0,1
41,1,1,20000.0,0,5,3,0,0.0,0,3,26.0,1
42,0,1,20000.0,0,1,1,0,2.0,1,2,35.0,1
43,0,0,20000.0,0,1,1,0,2.0,0,2,34.0,0
44,0,0,20000.0,0,3,1,0,0.0,0,3,28.0,1
45,0,0,20000.0,0,2,1,0,1.0,2,2,30.0,0
46,0,1,20000.0,0,1,1,0,2.0,1,2,34.0,1
47,0,0,20000.0,0,3,1,1,0.0,0,3,28.0,1
48,0,0,20000.0,0,1,1,1,2.0,1,2,31.0,1
49,1,0,20000.0,0,1,1,1,2.0,0,2,32.0,0
